transaction_id,trade_date,settlement_date,customer_id,counterparty_country,transaction_type,currency_code,amount,booking_branch,instrument_type,free_text_notes
TX-20251024-000001,2025-10-24,2025-11-07,205,KR,IMPORT,GBP,1249672.28,Tokyo,TT,Customer disputed amount; resolved after reconciliation.
TX-20250820-000002,2025-08-20,2025-09-12,718,CN,IMPORT,CNY,1005345.94,NewYork,TT,Customer disputed amount; resolved after reconciliation.
TX-20250603-000003,2025-06-03,2025-06-11,156,FR,REMITTANCE,EUR,4251336.29,London,LC,High-priority client. Premium handling.
TX-20250606-000004,2025-06-06,2025-07-02,90,FR,EXPORT,AUD,222830.83,Tokyo,TT,Counterparty requested expedited settlement due to year-end closing.
TX-20251114-000005,2025-11-14,2025-12-03,83,FR,REMITTANCE,GBP,3031490.55,Tokyo,TT,Counterparty requested expedited settlement due to year-end closing.
TX-20260128-000006,2026-01-28,2026-02-21,165,IN,EXPORT,EUR,4720113.87,NewYork,LC,Standard transaction. No issues reported.
TX-20260507-000007,2026-05-07,2026-05-14,486,TH,EXPORT,USD,4684045.54,Tokyo,LC,Suspicious pattern detected. Manual review escalated to compliance.
TX-20250706-000008,2025-07-06,2025-07-08,391,AU,IMPORT,AUD,1011964.12,Tokyo,DOC_COLL,Counterparty requested expedited settlement due to year-end closing.
TX-20251004-000009,2025-10-04,2025-10-14,559,DE,IMPORT,HKD,4707348.71,Singapore,LC,Counterparty requested expedited settlement due to year-end closing.
TX-20250715-000010,2025-07-15,2025-08-10,766,GB,REMITTANCE,AUD,630591.07,Tokyo,LC,Suspicious pattern detected. Manual review escalated to compliance.
TX-20260218-000011,2026-02-18,2026-02-25,420,GB,IMPORT,HKD,3855130.09,NewYork,TT,Standard transaction. No issues reported.
TX-20251114-000012,2025-11-14,2025-11-21,695,US,REMITTANCE,SGD,65630.99,Tokyo,TT,Counterparty requested expedited settlement due to year-end closing.
TX-20251106-000013,2025-11-06,2025-11-20,345,DE,EXPORT,AUD,4070306.2,Tokyo,LC,Standard transaction. No issues reported.
TX-20251109-000014,2025-11-09,2025-12-04,878,DE,EXPORT,GBP,1563979.63,NewYork,DOC_COLL,Suspicious pattern detected. Manual review escalated to compliance.
TX-20260325-000015,2026-03-25,2026-04-23,705,IN,EXPORT,GBP,3822326.45,NewYork,TT,Suspicious pattern detected. Manual review escalated to compliance.
TX-20251006-000016,2025-10-06,2025-11-01,983,US,EXPORT,AUD,4819395.19,London,LC,High-priority client. Premium handling.
TX-20251219-000017,2025-12-19,2026-01-11,896,AU,EXPORT,EUR,4649855.45,London,TT,Suspicious pattern detected. Manual review escalated to compliance.
TX-20251021-000018,2025-10-21,2025-11-13,847,KR,IMPORT,SGD,1901003.87,Singapore,LC,Customer disputed amount; resolved after reconciliation.
TX-20251127-000019,2025-11-27,2025-12-27,203,AU,IMPORT,HKD,3474744.07,NewYork,DOC_COLL,Counterparty requested expedited settlement due to year-end closing.
TX-20250625-000020,2025-06-25,2025-07-05,673,DE,REMITTANCE,GBP,2047146.77,London,DOC_COLL,Customer disputed amount; resolved after reconciliation.
TX-20260517-000021,2026-05-17,2026-05-22,514,CN,IMPORT,JPY,2615279.69,NewYork,DOC_COLL,Customer disputed amount; resolved after reconciliation.
TX-20260202-000022,2026-02-02,2026-02-12,767,IN,EXPORT,CNY,2806262.26,London,LC,Standard transaction. No issues reported.
TX-20260326-000023,2026-03-26,2026-04-22,315,US,REMITTANCE,JPY,4806078.19,Singapore,TT,Suspicious pattern detected. Manual review escalated to compliance.
TX-20250806-000024,2025-08-06,2025-08-28,972,IN,REMITTANCE,SGD,978079.39,Tokyo,TT,Customer disputed amount; resolved after reconciliation.
TX-20260219-000025,2026-02-19,2026-03-01,472,AU,IMPORT,EUR,4509820.36,Singapore,TT,High-priority client. Premium handling.
TX-20260216-000026,2026-02-16,2026-03-01,257,SG,EXPORT,CNY,2867591.68,Singapore,LC,Customer disputed amount; resolved after reconciliation.
TX-20250729-000027,2025-07-29,2025-08-28,641,FR,REMITTANCE,EUR,4902373.14,NewYork,TT,High-priority client. Premium handling.
TX-20260511-000028,2026-05-11,2026-05-16,338,FR,IMPORT,HKD,3279360.05,Tokyo,DOC_COLL,High-priority client. Premium handling.
TX-20251229-000029,2025-12-29,2026-01-20,13,KR,EXPORT,AUD,1315071.5,NewYork,DOC_COLL,Standard transaction. No issues reported.
TX-20251027-000030,2025-10-27,2025-10-30,49,AU,REMITTANCE,GBP,2780776.14,London,LC,Customer disputed amount; resolved after reconciliation.
TX-20260419-000031,2026-04-19,2026-05-13,794,DE,IMPORT,GBP,594665.0,NewYork,TT,Suspicious pattern detected. Manual review escalated to compliance.
TX-20250616-000032,2025-06-16,2025-06-29,73,CN,IMPORT,EUR,3512079.07,Tokyo,DOC_COLL,Standard transaction. No issues reported.
TX-20260315-000033,2026-03-15,2026-04-12,141,GB,REMITTANCE,USD,175090.44,Singapore,LC,Suspicious pattern detected. Manual review escalated to compliance.
TX-20260120-000034,2026-01-20,2026-02-10,623,KR,IMPORT,HKD,3868142.22,London,DOC_COLL,Customer disputed amount; resolved after reconciliation.
TX-20260211-000035,2026-02-11,2026-02-22,184,IN,IMPORT,EUR,2487821.52,Tokyo,LC,Customer disputed amount; resolved after reconciliation.
TX-20250603-000036,2025-06-03,2025-06-30,100,SG,REMITTANCE,CNY,3667686.63,Tokyo,LC,Counterparty requested expedited settlement due to year-end closing.
TX-20251003-000037,2025-10-03,2025-10-16,260,AU,REMITTANCE,JPY,2925876.57,Tokyo,TT,Counterparty requested expedited settlement due to year-end closing.
TX-20260312-000038,2026-03-12,2026-03-14,903,HK,REMITTANCE,SGD,1457610.53,Singapore,TT,Standard transaction. No issues reported.
TX-20260428-000039,2026-04-28,2026-05-11,168,KR,REMITTANCE,HKD,4234438.37,London,LC,Customer disputed amount; resolved after reconciliation.
TX-20251231-000040,2025-12-31,2026-01-21,233,CN,IMPORT,JPY,3820867.8,London,DOC_COLL,Customer disputed amount; resolved after reconciliation.
